MBTI_ID,Field,Chinese,English,Japanese,Korean,Cultural_Context_Translation_Logic
ISFP,CoreAnalysis,"你擁有一種獨特的動態平衡感。既能適應規則，又能看見規則之外的可能性。你的多面性是你最強大的武器。你對自我的認知在不斷流動，拒絕被單一的標籤定義。這讓你具備了極強的心理韌性。","You possess a unique dynamic balance. Adapting to rules while seeing the possibilities outside them, your multifaceted nature is your greatest weapon. Your self-identity is fluid, rejecting single-label definitions. This grants you immense psychological resilience and an appreciation for living truly in the moment.","あなたは独自の感性とダイナミズムを持ったアーティストです。型にはめられた生き方や、単一のレッテルで定義されることを静かに、しかし強く拒否します。社会のルールに適応しながらも、心の中の自由な領域は絶対に明け渡しません。今この瞬間を鮮やかに生きる、しなやかな強さを持っています。","당신은 자기만의 독특한 색채를 지닌 아티스트입니다. 시스템에 순응하는 척하면서도 틀에 박힌 삶과 획일화된 가치관을 조용히 거부합니다. 당신을 규정하려는 모든 라벨링을 싫어하며, 지금 이 순간의 감각과 감정에 충실합니다. 그 유연함이 어지러운 세상 속에서 버틸 수 있는 당신만의 무기입니다.","【日】堅決拒絕「単一のレッテル (單一標籤)」展現溫和而死硬的反抗。【韓】表面順從但私底反對「획일화된 가치관 (千篇一律的價值觀)」。"
ISFP,SoulQuestions,"如果你永遠不向世界展現真實的自我，那你真的存在過嗎？ | 你有勇氣對一個不完美的現實，做出長久的承諾嗎？","If you never show your true colors to anyone, are you really painting? | Can you commit to an imperfect reality?","本当の自分を誰にも見せないのであれば、それは描いていないのと同じではないですか？ | 不完全で面倒な現実と、本気で向き合う覚悟はありますか？","누구에게도 진짜 색깔을 보여주지 않는다면, 그 캔버스는 무슨 의미가 있을까요? | 불완전하고 귀찮은 현실의 흠집까지 사랑할 수 있나요?","探詢其在虛實與當下責任間的抉擇。"
ESTP,Title,"極限挑戰者","The Extreme Challenger","限界突破のチャレンジャー","거침없는 액션마스터",""
ESTP,Quote,"「與其後悔做過不如後悔沒做。」","I'd rather regret doing it than regret not doing it.","「やらなくて後悔するより、やって後悔する方がマシだ。」","「안 하고 후회하느니, 저지르고 나서 수습하겠다.」",""
ESTP,CoreAnalysis,"你是活在當下的實踐者。你討厭抽象理論，喜歡捲起袖子直接幹。你擁有驚人的觀察力，能瞬間讀懂空氣並做出反應。你是天生的冒險家，喜歡遊走在邊緣，並在危機中找到快感與機會。","You are a practitioner who lives fiercely in the present. You hate abstract theories and prefer rolling up your sleeves to get your hands dirty. Your observational skills are incredible; you can read a room instantly and react. You are a natural adventurer, finding thrill and opportunity right on the knife's edge.","あなたは「今、ここ」を全力で駆け抜ける行動派です。会議室での長ったらしい机上の空論よりも、現場で手を動かしながら正解を見つけることを好みます。動体視力のように場の空気を読む能力が高く、リスクを恐れるどころか、スリルの中にこそ最大のチャンスと快感を見出す生粋のギャンブラーです。","당신은 현재를 100%의 농도로 살아가는 행동파입니다. 지루한 이론이나 기나긴 회의를 혐오하며, 일단 몸으로 부딪혀서 해결합니다. 눈치가 백 단이라 현장 분위기를 순식간에 파악하고 임기응변으로 위기를 넘기는 데 능합니다. 위험을 두려워하기보단, 그 아슬아슬한 스릴 즐기며 기회를 포착합니다.","【日】以 会議室での長ったらしい机上の空論 (會議室裡的冗長黑板空論) 作為背景。【韓】「눈치가 백 단(看臉色的功力一百段)」非常道地的形容他們過人的環境觀察力。"
ESTP,SoulQuestions,"當刺激退去、四下無人時，你如何面對平靜的恐懼？ | 你跑得那麼快，到底是在追尋目標，還是在逃避自己？","When the adrenaline fades, what are you left alone with? | Are you running towards something, or just running fast?","アドレナリンの魔法が解けたあと、あなたの心に残るものは何ですか？ | 猛スピードで走っていますが、それはどこかへ向かっているのですか？","아드레날린이 식고 난 고요한 밤, 당신 곁엔 무엇이 남아있나요? | 그저 달리는 속도감에 취해 있는 건가요, 아니면 진짜 목적지가 있는 건가요?","直譯，討論速度與空虛的反差。"
ESFP,Title,"閃耀巨星","The Shining Superstar","煌めくスーパースター","무대 위의 본투비 스타",""
ESFP,Quote,"「人生就是一場即興演出。」","Life is an impromptu performance.","「人生という名の、終わらない即興劇。」","「인생은 한 편의 화려한 즉흥극이다.」",""
ESFP,CoreAnalysis,"你是世界的聚光燈。你熱愛生活、熱愛物質、熱愛與人互動。你有一種讓沈悶氣氛瞬間活躍的魔力。你極度關注美感與感官體驗，認為人生苦短，必須及時行樂。你是最慷慨的朋友，總是樂於分享快樂。","You are the spotlight of the world. You passionately love life, material experiences, and human interaction. You possess a magic that instantly brightens up any dull atmosphere. Highly focused on aesthetics and sensory experiences, you believe life is short and meant to be enjoyed right now. You are the most generous of friends.","あなたは世界の中心を照らすスポットライトです。暗い雰囲気も、あなたが現れれば一瞬で華やぎます。人生は短く、楽しんでこそナンボ。美味しいもの、美しいもの、楽しい体験を全力で追い求めます。過去を悔やまず未来を憂慮せず、今この瞬間を最も輝かせることができる最高のエンターテイナーです。","당신은 걸어 다니는 비타민이자 인간 스포트라이트입니다. 우울한 분위기도 당신이 등장하면 순식간에 시트콤으로 변합니다. 인생은 짧고 즐길 거리는 많다고 믿으며, 미적 취향과 감각적 즐거움을 최대한으로 만끽합니다. 복잡한 생각보다는 지금 눈앞의 사람들과 신나게 웃고 떠드는 것이 가장 중요합니다.","【日】以「楽しんでこそナンボ (好玩才是王道)」表達及時行樂。【韓】用「걸어 다니는 비타민 (行走的維他命)」展露其討喜性格。"
ESFP,SoulQuestions,"當燈光暗下、掌聲停止，你知道安靜的自己是誰嗎？ | 你能不帶任何幽默感，去直面人生中那些沉重的真相嗎？","When the party's over and the crowd leaves, do you know who you are in the silence? | Can you face the heavy parts of life without making a joke?","パーティーが終わり誰もいなくなった静寂の中で、あなたは本当の自分を見つめられますか？ | 冗談やおどけでごまかさずに、人生の重みに耐えることはできますか？","파티가 끝나고 모두가 떠난 텅 빈 방 안에서, 당신은 자신이 누구인지 알고 있나요? | 농담으로 얼버무리지 않고, 삶의 무거운 진실을 똑바로 마주할 수 있나요?","直譯，以派對的結束來隱喻無法面對沉重議題。"
