題號,維度,繁體中文,繁體中文_選項1,繁體中文_選項2,英文,英文_選項1,英文_選項2,日文,日文_選項1,日文_選項2,韓文,韓文_選項1,韓文_選項2,文化語境與中文回推差異
30,JP,"談到「規則」，你心裡比較貼近哪一句：","有一定的規則和流程，大家比較知道怎麼配合，效率才會出來。","規則可以當參考，但遇到特殊情況時，彈性跟創意比較重要。","When it comes to ""rules,"" which statement resonates more with you?","Having certain rules and processes helps everyone know how to cooperate, creating real efficiency.","Rules are references; in special situations, flexibility and creativity are far more important.","「ルール」について、あなたの考えに近いのは：","一定のルールや手順があるからこそ、みんなが協力しやすく、効率が上がる。","ルールはあくまで参考。特別な状況では、柔軟性とクリエイティビティの方がはるかに重要だ。","""규칙""에 대해 당신의 마음에 더 와닿는 말은?","확실한 규칙과 프로세스가 있어야 사람들이 어떻게 협력할지 알게 되고, 효율도 올라간다.","규칙은 참고용일 뿐이다. 상황에 따라 유연함과 창의성을 발휘하는 게 훨씬 중요하다.","直譯，無特殊文化背景差異。"
31,JP,"完成一個專案後，如果只能選一個讓你最有感的瞬間：","把最後一格打勾、把檔案存檔結案，那一刻的清爽感。","在過程中突然想到一個新做法或靈感，覺得自己又多解鎖了一點。","After finishing a project, if you had to pick the most satisfying moment, it would be:","Checking off the last box, archiving the files, and closing the case. So refreshing.","Having an epiphany or trying a new method during the process, feeling like you've unlocked a new skill.","プロジェクトが完了した時、一番達成感を感じる瞬間はどちらですか：","リストの最後の一つにチェックを入れ、ファイルを閉じて完了させた爽快感。","途中で新しいアプローチやインスピレーションが湧き、自分自身がアップデートされたと感じた時。","프로젝트를 마친 후, 가장 성취감을 느끼는 순간을 하나만 꼽자면?","마지막 체크 항목에 브이(V) 표시를 하고 파일을 폴더에 정리해 끝낼 때의 그 짜릿한 상쾌함.","과정 중에 새로운 아이디어나 접근법을 떠올리고, 내 스킬이 한 단계 레벨 업했다고 느낄 때.","直譯，無特殊文化背景差異。"
32,JP,"你的手機電量習慣：","看到剩 40–50% 就會找機會充，不喜歡它變紅。","經常一路用到剩個位數才發現，然後才開始找充電線。","Your phone battery habits:","I plug it in when it drops to 40-50%. I don't like seeing it turn red.","I often use it until it's in the single digits, and only then frantically look for a charger.","あなたのスマホの充電の習慣は：","40～50%になったら充電する。バッテリー表示が赤くなるのは嫌だ。","一桁になるまで気づかずに使い、慌てて充電ケーブルを探すことが多い。","당신의 휴대폰 배터리 충전 습관은?","40~50% 정도 남으면 충전기를 꽂는다. 빨간색 배터리 아이콘을 보는 게 싫다.","배터리가 한 자릿수가 될 때까지 쓰다가, 경고음이 울려야 허둥지둥 충전기를 찾는다.","直譯，無特殊文化背景差異。"
33,AT,"事情突然不照你的計畫走，發生了一個大反轉，你內心的第一層反應是：","先深呼吸一下，想：「好，那接下來我可以怎麼做？」","會先一陣焦慮，腦中開始重播是不是自己哪裡沒做好。","Things suddenly don't go as planned, and there's a big plot twist. Your immediate internal reaction is:","Take a deep breath and think: ""Alright, what can I do next?""","A wave of anxiety hits, and my mind replays what I might have done wrong.","予定通りにいかず、突然のアクシデントが発生しました。あなたの最初の内面的な反応は：","深呼吸をして、「よし、じゃあ次はどうするべきか？」と考える。","焦りの波が押し寄せ、自分がどこでミスをしたのか頭の中で反芻し始める。","일이 계획대로 진행되지 않고 예기치 못한 큰 반전이 생겼습니다. 당신의 첫 심리적 반응은:","심호흡을 한 번 하고 ""좋아, 그럼 이제 내가 할 수 있는 건 뭐지?""라고 생각한다.","불안감이 엄습하며, 내가 뭣을 잘못했는지 머릿속으로 상황을 끝없이 되감기 한다.","直譯，無特殊文化背景差異。"
34,AT,"對於自己的能力，你心裡比較常出現的是：","「大致上我相信自己，就算遇到新的東西也能慢慢學起來。」","「我好像還不夠好，需要再拿出成績或被肯定才比較放心。」","When it comes to your own abilities, the thought that pops up more often is:","""I generally trust myself. Even if I face something new, I can learn it eventually.""","""I feel like I'm not good enough yet. I need to show results or be validated to feel at ease.""","自分の能力について、心の中でよく浮かぶ考えはどちらですか：","「基本的には自分を信じている。新しいことでも少しずつ学べるはずだ。」","「私はまだ十分じゃない。結果を出したり、認められたりしないと安心できない。」","당신의 능력에 대해, 속으로 더 자주 떠올리는 생각은:","""대체로 나 자신을 믿는다. 새로운 걸 만나더라도 천천히 배우면 할 수 있다.""","""나는 아직 부족한 것 같다. 성과를 내거나 타인에게 인정받아야 비로소 마음이 놓인다.""","直譯，無特殊文化背景差異。"
35,AT,"在社交場合說錯話／講了一個冷掉的梗，過後你會：","當場笑一笑帶過，之後也不會特別放在心上。","回家後會反覆回想那一幕，覺得尷尬好一陣子。","If you say something wrong or make a bad joke in a social setting, afterwards you will:","Laugh it off on the spot and not really dwell on it later.","Replay the scene over and over in your head after going home, feeling embarrassed for a long time.","社交の場で失言したり、空気を凍らせるような冗談を言ってしまった後、あなたは：","その場で笑ってごまかし、その後は特に気に留めない。","家に帰ってからそのシーンを何度も何度も思い出し、しばらく気まずさを引きずる。","사람들과 모인 자리에서 말실수를 하거나 재미없는 농담을 던져 분위기가 싸해졌습니다. 그 후 당신은:","그 자리에서 슬쩍 웃어넘기고, 나중에도 크게 마음에 담아두지 않는다.","집에 돌아와서도 그 장면을 끝없이 반복 재생하며 한참 동안 이불 킥을 한다.","【冷掉的梗】(Bad joke) 【英】bad joke、【日】空気を凍らせるような冗談 (讓空氣凍結的玩笑)、【韓】재미없는 농담을 던져 분위기가 싸해졌습니다 (丟了無趣的玩笑讓氣氛變冷)。保留了日韓高度「讀空氣/氣氛」的文化。"
36,AT,"面對一個時間快到了的大專案，你被壓力推著跑時：","反而會進入高專注模式，知道自己在壓力下跑得比較快。","容易睡不好、心裡慌，會很怕自己出錯或來不及。","When pushed by the stress of an approaching deadline for a big project, you:","Enter a state of hyper-focus. You know you actually run faster under pressure.","Easily lose sleep and panic, deeply worried that you'll make a mistake or run out of time.","大きなプロジェクトの締め切りが近づき、プレッシャーを与えられている時、あなたは：","逆に高い集中状態に入る。プレッシャーがある方がスピーディにこなせるとわかっている。","プレッシャーでよく眠れずパニックに陥り、失敗しないか、間に合わないかと深く恐れる。","중요한 프로젝트 마감이 다가와 압박감에 쫓길 때, 당신은:","오히려 엄청난 집중 모드에 돌입한다. 나는 압박감이 있을 때 더 효율이 좋다는 걸 안다.","잠도 잘 못 자고 안절부절못하며, 혹시나 실수하거나 제시간에 끝내지 못할까 봐 겁이 난다.","直譯，無特殊文化背景差異。"
37,AT,"別人的情緒，對你而言的影響力是：","我大致能分清楚「那是他的情緒，不是我的」，比較不容易被拖走。","很容易被現場氣氛影響，別人一低氣壓，我心情也會跟著掉下去。","How much influence do other people's emotions have on you?","I can clearly separate ""that's their emotion, not mine,"" so I don't get dragged down easily.","I am highly affected by the room's vibe. If someone is down, my mood drops with them.","他人の感情は、あなたにどのくらい影響を与えますか？","「それは相手の感情で、自分のものではない」と切り離せるので、あまり引きずられない。","その場の空気に影響されやすく、周りが暗い雰囲気だと自分のテンションも一緒に下がる。","다른 사람의 감정이 당신에게 미치는 영향력은 어느 정도인가요?","""저건 저 사람 감정이고, 내 감정은 아니지""라고 선을 그을 수 있어서 쉽게 휘둘리지 않는다.","주변 분위기에 매우 민감하다. 누군가 기분이 안 좋으면 내 기분도 함께 덩달아 다운된다.","直譯，無特殊文化背景差異。"
38,AT,"面對未來可能發生的風險，你通常：","倾向先樂觀看待：「真的發生再說，到時候再處理。」","會先在腦中演一輪最糟的劇本，預預想各種備案。","Facing potential future risks, you usually:","Lean towards optimism: ""I'll deal with it when it actually happens.""","Pre-play the worst-case scenario in my head and prepare various backup plans.","将来起こりうるリスクに対して、あなたは普段：","「本当に起きた時に考えよう」と、楽観的に構える傾向がある。","最悪のシナリオを頭の中で何度もシミュレーションし、あらゆる代替案を用意する。","미래에 발생할 수 있는 리스크를 대할 때, 당신의 평소 태도는:","""진짜 일이 터지면 그때 가서 생각하자""라며 비교적 낙관적으로 생각하려 한다.","머릿속으로 최악의 시나리오를 수십 번 돌려보고, 여러 가지 플랜 B를 철저히 세워둔다.","直譯，無特殊文化背景差異。"
39,AT,"談到你現在的人生狀態，你比較接近哪一種感覺：","雖然還有很多想做的，但大致上我能欣賞目前的自己與生活。","總覺得哪裡還不夠好，常常在心裡對自己說「再撐一下、再更好一點」。","Speaking of your current state in life, you feel closer to:","There are still things I want to do, but overall, I appreciate myself and my life right now.","I always feel like something is missing, often telling myself ""Push harder, be better.""","自分の現在の人生のステータスについて、どちらの感覚に近いですか：","やりたいことはまだあるけれど、全体的には今の自分や生活に満足している。","いつも何かが足りない気がして、「もっと頑張らないと、もっと上にいかないと」と自分に言い聞かせている。","지금 당신의 인생 상태를 생각했을 때, 어느 쪽에 더 가까운가요?","아직 하고 싶은 일이 많긴 하지만, 전반적으로 지금의 나와 내 삶에 감사하고 만족한다.","늘 뭔가 부족한 것 같고, 마음속으로 수시로 ""좀 더 버텨야 해, 더 잘해야 해""라며 스스로를 채찍질한다.","直譯，無特殊文化背景差異。"
40,AT,"當有人評論你的作品、說：「我覺得這裡可以再調整」時，你比較像是：","自動把這句話拆成具體建議，當作修正的參考資料。","先感受到一點被否定，會需要時間把這件事從「在說我不好」轉成「在說作品可以變好」。","When someone critiques your work, saying ""I think this part can be adjusted,"" you are more like:","Automatically unpacking it into actionable advice, treating it as reference data for correction.","Feeling a sting of rejection initially. I need time to reframe it from ""I am bad"" to ""the work can be better.""","誰かがあなたの作品を見て「ここは修正した方がいいと思う」と評価した時、あなたは：","自動的にそれを具体的なアドバイスに変換し、修正のための参考データとして扱う。","最初は自分が否定されたように感じ傷つく。「私がダメなんだ」から「作品を良くするための言葉だ」と切り替えるのに時間がかかる。","누군가 당신의 작업물을 보고 ""이 부분은 좀 수정하는 게 좋겠어""라고 코멘트할 때, 당신은:","그 말을 자동으로 구체적인 조언으로 필터링해서, 더 나은 결과물을 위한 참고 데이터로 활용한다.","처음엔 약간 부정당한 느낌에 상처를 받는다. ""내가 부족하다""는 감정에서 ""작업물을 좋게 만들자""로 생각을 전환하는 데 시간이 좀 걸린다.","直譯，無特殊文化背景差異。"
